Trait,Barani,C217,C271,C518,Chakwal_50,Chakwal_86,Dharabi_2011,DIRK,GA_leaf,Inquilab_91,Maxipak,NARC_2009,PAK_81,Pakistan_13,PARI,Parwaz_94,Pasban_90,Pothowar_70,Punjab_96,Rawal_87,Seher_2006,T9,Ujala_2016
MNR-Control,2,2.5,2,2,1.67,2.67,1.67,2.33,3,3.33,3,2,2.67,2,3,2,2.33,NA,2.33,2,3,2.33,2.67
MaxNR-Control,5.67,10,6,5.33,5,5.67,7.67,6.33,7,7.33,6,5.33,7,5,6.67,7.33,6.33,NA,7,5.33,7.33,6.67,8.33
NRT-Control,18.33,16,14.67,10.33,7.67,8.67,16,6.67,16.67,16,9.33,8.33,22.33,10.33,17,14.67,13.67,NA,9.33,17.67,22,20,28
TRL-Control,511.48,444.29,495.09,450.16,447.18,411.62,453.8,397.49,640.97,642.45,427.88,484.59,390.58,471.58,595.63,453.12,567.17,NA,461.09,372.91,621.13,448,626.04
D-Control,47.19,48.53,44.75,49.55,45.42,44.96,45.54,39.3,51.92,52.95,36.74,41.27,40.39,50.16,48.35,45.89,48.4,NA,40.32,52.24,54.59,48.96,44.55
MaxW-Control,181.54,150.93,191.38,184.36,195.37,168.65,197.44,176.94,201.16,197.54,156.6,199.15,160.2,201.96,197.31,193.68,203.27,NA,188.25,152.13,180.61,149.81,203.27
WDR-Control,3.91,3.16,4.44,3.73,4.47,3.81,4.59,4.72,3.89,3.75,4.25,4.97,4.03,4.07,4.15,4.25,4.2,NA,4.96,2.92,3.46,3.1,4.58
NtA-Control,395.76,334.1,419.75,362.77,362.13,318.08,386.45,368.71,448.73,463.25,305.53,390.87,324.37,363.57,462.72,336.77,459.78,NA,383.24,319.54,477.09,343.13,572.62
CA-Control,2588.38,3226.69,2586.77,3471.4,2849.39,3046.22,3703.49,2735.53,4689.42,4328.84,2977.61,2668.51,1983.43,3237.24,3523.83,3259.79,3038.83,NA,3301.08,2615.72,3270.81,3262.68,3173.06
S-Control,0.15,0.1,0.18,0.11,0.16,0.11,0.11,0.14,0.1,0.12,0.11,0.16,0.18,0.12,0.14,0.11,0.16,NA,0.12,0.15,0.16,0.1,0.2
